@relation accelerometer

@attribute minimum_for_axis_X numeric
@attribute minimum_for_axis_Y numeric
@attribute minimum_for_axis_Z numeric
@attribute minimum_for_magnitude numeric
@attribute average_acceleration_for_axis_X numeric
@attribute average_acceleration_for_axis_Y numeric
@attribute average_acceleration_for_axis_Z numeric
@attribute average_acceleration_for_magnitude numeric
@attribute standard_deviation_for_axis_X numeric
@attribute standard_deviation_for_axis_Y numeric
@attribute standard_deviation_for_axis_Z numeric
@attribute standard_deviation_for_magnitude numeric
@attribute average_absolute_difference_for_axis_X numeric
@attribute average_absolute_difference_for_axis_Y numeric
@attribute average_absolute_difference_for_axis_Z numeric
@attribute average_absolute_difference_for_magnitude numeric
@attribute zero_crossing_rate_for_axis_X numeric
@attribute zero_crossing_rate_for_axis_Y numeric
@attribute zero_crossing_rate_for_axis_Z numeric
@attribute bin0_X numeric
@attribute bin1_X numeric
@attribute bin2_X numeric
@attribute bin3_X numeric
@attribute bin4_X numeric
@attribute bin5_X numeric
@attribute bin6_X numeric
@attribute bin7_X numeric
@attribute bin8_X numeric
@attribute bin9_X numeric
@attribute bin0_Y numeric
@attribute bin1_Y numeric
@attribute bin2_Y numeric
@attribute bin3_Y numeric
@attribute bin4_Y numeric
@attribute bin5_Y numeric
@attribute bin6_Y numeric
@attribute bin7_Y numeric
@attribute bin8_Y numeric
@attribute bin9_Y numeric
@attribute bin0_Z numeric
@attribute bin1_Z numeric
@attribute bin2_Z numeric
@attribute bin3_Z numeric
@attribute bin4_Z numeric
@attribute bin5_Z numeric
@attribute bin6_Z numeric
@attribute bin7_Z numeric
@attribute bin8_Z numeric
@attribute bin9_Z numeric
@attribute bin0_magnitude numeric
@attribute bin1_magnitude numeric
@attribute bin2_magnitude numeric
@attribute bin3_magnitude numeric
@attribute bin4_magnitude numeric
@attribute bin5_magnitude numeric
@attribute bin6_magnitude numeric
@attribute bin7_magnitude numeric
@attribute bin8_magnitude numeric
@attribute bin9_magnitude numeric
@attribute userID{u001,u002,u003,u004,u005,u006,u007,u008,u009,u010,u011,u012,u013,u014,u015,u016,u017,u018,u019,u020,u021,u022,u023,u024,u025,u026,u027,u028,u029,u030,u031,u032,u033,u034,u035,u036,u037,u038,u039,u040,u041,u042,u043,u044,u045,u046,u047,u048,u049,u050,u051,u052,u053,u054,u055,u056,u057,u058,u059,u060,u061,u062,u063,u064,u065,u066,u067,u068,u069,u070,u071,u072,u073,u074,u075,u076,u077,u078,u079,u080,u081,u082,u083,u084,u085,u086,u087,u088,u089,u090,u091,u092,u093,u094,u095,u096,u097,u098,u099,u100,u101,u102,u103,u104,u105,u106,u107,u108,u109,u110,u111,u112,u113,u114,u115,u116,u117,u118,u119,u120,u121,u122,u123,u124,u125,u126,u127,u128,u129,u130,u131,u132,u133,u134,u135,u136,u137,u138,u139,u140,u141,u142,u143,u144,u145,u146,u147,u148,u149,u150,u151,u152,u153,u001,u002,u003,u004,u005,u006,u007,u008,u009,u010,u011,u012,u013,u014,u015,u016,u017,u018,u019,u020,u021,u022,u023,u024,u025,u026,u027,u028,u029,u030,u031,u032,u033,u034,u035,u036,u037,u038,u039,u040,u041,u042,u043,u044,u045,u046,u047,u048,u049,u050,u051,u052,u053,u054,u055,u056,u057,u058,u059,u060,u061,u062,u063,u064,u065,u066,u067,u068,u069,u070,u071,u072,u073,u074,u075,u076,u077,u078,u079,u080,u081,u082,u083,u084,u085,u086,u087,u088,u089,u090,u091,u092,u093,u094,u095,u096,u097,u098,u099,u100,u101,u102,u103,u104,u105,u106,u107,u108,u109,u110,u111,u112,u113,u114,u115,u116,u117,u118,u119,u120,u121,u122,u123,u124,u125,u126,u127,u128,u129,u130,u131,u132,u133,u134,u135,u136,u137,u138,u139,u140,u141,u142,u143,u144,u145,u146,u147,u148,u149,u150,u151,u152,u153}

@data
-9.016000000000002,-15.288000000000002,-7.056,5.827498948948856,-3.168,-9.24,-2.232000000000001,10.337899249507748,1.8746818396730685,2.5552205384271622,2.05330562751871,2.7898270747533855,1.416489795918367,2.1839999999999984,1.5797551020408152,2.3590568386150337,0.04081632653061224,0.01020408163265306,0.1326530612244898,0.0,0.030612244897959183,0.061224489795918366,0.3673469387755102,0.5102040816326531,0.030612244897959183,0.0,0.0,0.0,0.0,0.12244897959183673,0.41836734693877553,0.35714285714285715,0.10204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05102040816326531,0.24489795918367346,0.5510204081632653,0.15306122448979592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.336734693877551,0.336734693877551,0.3163265306122449,u001
-11.368,-13.328000000000001,-7.056,5.31734670677021,-3.238260869565218,-9.709101449275366,-1.6077681159420294,10.827909405749892,2.71228808510172,2.171971962779296,2.19846923124308,2.646037877959738,2.0131064902331457,1.715380802352447,1.6094971644612484,2.073623504247854,0.10144927536231885,0.014492753623188406,0.07246376811594203,0.0,0.057971014492753624,0.07246376811594203,0.391304347826087,0.391304347826087,0.08695652173913043,0.0,0.0,0.0,0.0,0.13043478260869565,0.5797101449275363,0.21739130434782608,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.2028985507246377,0.6231884057971014,0.10144927536231885,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.18840579710144928,0.4057971014492754,0.36231884057971014,u001
-6.664000000000001,-13.328000000000001,-5.096000000000001,7.110236001709086,-2.6994545454545453,-10.138545454545454,-2.1738181818181816,10.979847090958172,2.038975427362584,1.7362444509309256,1.7639100068871696,2.1281320971250217,1.7947768595041327,1.4635206611570253,1.4756694214876034,1.75335486911221,0.18181818181818182,0.022727272727272728,0.1590909090909091,0.0,0.0,0.045454545454545456,0.4318181818181818,0.4318181818181818,0.09090909090909091,0.0,0.0,0.0,0.0,0.1590909090909091,0.6363636363636364,0.20454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3409090909090909,0.5,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.38636363636363635,0.4318181818181818,u001
-7.056,-13.328000000000001,-3.528,8.46211699280978,-4.290222222222222,-11.542222222222222,-0.45733333333333337,12.508107829129438,1.670655079620485,1.4738262959444317,1.7396341888773947,1.8370825546634124,1.459111111111111,1.2437530864197532,1.4881481481481484,1.5074696586343121,0.16666666666666666,0.05555555555555555,0.4444444444444444,0.0,0.0,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.5,0.4444444444444444,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.6111111111111112,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.2777777777777778,0.6666666666666666,u001
-10.976000000000003,-13.328000000000001,-9.8,0.0,-2.3721025641025624,-7.561914529914524,-1.980102564102564,8.482471351533027,2.0855380882845873,4.20203166484416,2.3763577653200367,4.736192914776277,1.5649072978303742,3.506150631894225,1.8480613631382867,3.8809475398201108,0.05982905982905983,0.008547008547008548,0.05982905982905983,0.0,0.017094017094017096,0.03418803418803419,0.2905982905982906,0.452991452991453,0.20512820512820512,0.0,0.0,0.0,0.0,0.1452991452991453,0.3247863247863248,0.23076923076923078,0.13675213675213677,0.0,0.1623931623931624,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.23076923076923078,0.452991452991453,0.26495726495726496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1623931623931624,0.11965811965811966,0.19658119658119658,0.23931623931623933,0.28205128205128205,u001
-11.368,-14.504000000000001,-10.584000000000001,5.273820626452894,-3.0713846153846127,-9.507076923076921,-2.4338461538461553,10.749711401508831,2.303588556293504,2.748976046053357,2.7654646527414024,3.270536843670991,1.6119289940828407,2.3508639053254465,2.0786745562130173,2.705867909569614,0.03296703296703297,0.01098901098901099,0.054945054945054944,0.0,0.03296703296703297,0.08791208791208792,0.2857142857142857,0.5604395604395604,0.03296703296703297,0.0,0.0,0.0,0.0,0.16483516483516483,0.42857142857142855,0.27472527472527475,0.13186813186813187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.12087912087912088,0.23076923076923078,0.5164835164835165,0.06593406593406594,0.054945054945054944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.24175824175824176,0.3076923076923077,0.37362637362637363,u001
-12.544,-14.896,-5.488000000000001,5.035331170836731,-3.212059701492538,-9.624477611940296,-1.5562985074626865,10.662517195470535,2.611884799410371,2.6136796978458565,2.2655461534870263,3.2352205599032176,1.8951178436177316,2.1113334818445084,1.6280793049676983,2.5944946483937774,0.14925373134328357,0.014925373134328358,0.05970149253731343,0.014925373134328358,0.04477611940298507,0.07462686567164178,0.3880597014925373,0.40298507462686567,0.07462686567164178,0.0,0.0,0.0,0.0,0.19402985074626866,0.44776119402985076,0.31343283582089554,0.04477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492538,0.6417910447761194,0.05970149253731343,0.07462686567164178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.23880597014925373,0.373134328358209,0.34328358208955223,u001
-6.272,-14.112,-5.488000000000001,6.778313654589908,-2.4597999999999995,-10.231200000000003,-2.1364000000000005,11.060248781381572,1.898242545092697,1.735015204544329,2.227770867930542,2.1306658334772934,1.54938,1.3092800000000002,1.72676,1.6556552004142102,0.225,0.025,0.175,0.0,0.0,0.075,0.275,0.525,0.125,0.0,0.0,0.0,0.0,0.15,0.7,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.475,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.5,0.35,u001
-6.664000000000001,-14.504000000000001,-1.9600000000000002,8.686139764014854,-3.4588235294117644,-10.584000000000001,-0.09223529411764711,11.42973556044534,1.642526469848279,1.8039016537690158,2.161879996925654,1.9949556579319707,1.402519031141869,1.5218823529411767,2.048166089965398,1.6217251647447595,0.47058823529411764,0.058823529411764705,0.5294117647058824,0.0,0.0,0.17647058823529413,0.29411764705882354,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.47058823529411764,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.23529411764705882,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.47058823529411764,0.35294117647058826,u001
-7.056,-19.992,-8.624,0.0,-2.3993103448275863,-7.6135862068965485,-1.919448275862069,8.497169041690544,1.8184709208268874,4.55496312500492,2.092314402203801,4.861901905530877,1.4358573127229493,3.7063460166468474,1.6139120095124864,3.8976825411721125,0.06896551724137931,0.008620689655172414,0.04310344827586207,0.0,0.0,0.04310344827586207,0.28448275862068967,0.45689655172413796,0.21551724137931033,0.0,0.0,0.0,0.0,0.1206896551724138,0.33620689655172414,0.1896551724137931,0.1896551724137931,0.008620689655172414,0.15517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.20689655172413793,0.49137931034482757,0.23275862068965517,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15517241379310345,0.08620689655172414,0.28448275862068967,0.1896551724137931,0.28448275862068967,u001
